370.967285  4.3283	2.078604
372.549561	4.343284	2.059463
374.131897	4.357959	2.040188
375.714264	4.372325	2.020786
377.296661	4.386379	2.001261
378.87912	4.400121	1.98162
380.461609	4.413549	1.961867
382.044128	4.426662	1.942008
383.62674	4.43946	    1.922048
385.209351	4.45194	    1.901993
386.791992	4.464103	1.881848
388.374695	4.475948	1.861619
389.957428	4.487475	1.841311
391.540222	4.498682	1.820929
393.123016	4.509571	1.800479
394.705872	4.520139	1.779967
396.288757	4.530387	1.759398
397.871674	4.540316	1.738777
399.454651	4.549925	1.718109
401.037628	4.559215	1.697401
402.620667	4.568185	1.676656
404.203705	4.576837	1.655882
405.786804	4.58517	    1.635082
407.369934	4.593185	1.614263
408.953094	4.600884	1.59343
410.536285	4.608266	1.572587
412.119537	4.615334	1.551741
413.702789	4.622087	1.530895
415.286072	4.628526	1.510056
416.869385	4.634654	1.489228
418.452728	4.640471	1.468417
420.036072	4.645979	1.447628
421.619476	4.651178	1.426864
423.202942	4.656072	1.406132
424.786377	4.660661	1.385437
426.369873	4.664947	1.364781
427.953369	4.668931	1.344173
429.536926	4.672617	1.323614
431.120453	4.676005	1.303111
432.704041	4.679098	1.282667
434.287659	4.681897	1.262288
435.871246	4.684406	1.241978
437.454926	4.686626	1.22174
439.038574	4.68856	    1.20158
440.622253	4.690209	1.181502
442.205994	4.691577	1.161509
443.789703	4.692666	1.141608
445.373474	4.693479	1.1218
446.957214	4.694017	1.102091
448.541016	4.694285	1.082484
450.124847	4.694284	1.062983
451.708679	4.694018	1.043592
453.292542	4.693489	1.024314
454.876373	4.692701	1.005155
456.460266	4.691655	0.986116
458.044128	4.690356	0.967202
459.628021	4.688807	0.948416
461.211975	4.687009	0.929761
462.795898	4.684967	0.91124
464.379822	4.682683	0.892858
465.963776	4.680161	0.874617
467.54776	4.677404	0.85652
469.131744	4.674415	0.83857
470.715729	4.671197	0.82077
472.299713	4.667755	0.803123
473.883728	4.66409	    0.785632
475.467773	4.660206	0.768299
477.051819	4.656106	0.751127
478.635834	4.651795	0.734119
480.219879	4.647275	0.717277
481.803894	4.642549	0.700604
483.388	    4.63762	    0.684102
484.972015	4.632493	0.667773
486.556091	4.627171	0.651618
488.140198	4.621655	0.635642
489.724274	4.61595	    0.619845
491.30835	4.610059	0.604229
492.892426	4.603985	0.588797
494.476501	4.597731	0.57355
496.060608	4.5913	    0.55849
497.644684	4.584695	0.543618
499.22876	4.577919	0.528937
500.812836	4.570974	0.514448
502.396912	4.563863	0.500152
503.981049	4.556588	0.48605
505.565125	4.549153	0.472145
507.149231	4.541558	0.458437
508.733307	4.533805	0.444928
510.317383	4.525896	0.431619
511.901428	4.517832	0.418511
513.485474	4.509613	0.405605
515.06958	4.501237	0.392902
516.653625	4.492705	0.380404
518.237671	4.484013	0.368112
519.821716	4.475156	0.356026
521.405762	4.466125	0.344147
522.989807	4.456906	0.332479
524.573853	4.447469	0.321022
526.157837	4.437721	0.309818
527.741821	4.427708	0.299063
529.325867	4.417566	0.288758
530.909851	4.407356	0.278879
532.493774	4.397114	0.269404
534.077759	4.386868	0.260311
535.661743	4.376638	0.251583
537.245667	4.366443	0.243201
538.82959	4.356295	0.235149
540.413513	4.346206	0.227412
541.997437	4.336186	0.219975
543.581299	4.326241	0.212825
545.165161	4.316379	0.205948
546.749023	4.306605	0.199333
548.332886	4.296923	0.192968
549.916687	4.287337	0.186841
551.500488	4.277851	0.180944
553.08429	4.268466	0.175265
554.66803	4.259184	0.169796
556.25177	4.250008	0.164527
557.83551	4.240937	0.15945
559.419189	4.231974	0.154557
561.002869	4.223119	0.149841
562.586548	4.214371	0.145294
564.170227	4.205732	0.140909
565.753784	4.197201	0.136679
567.337402	4.188777	0.132599
568.921021	4.180461	0.128662
570.504517	4.172252	0.124863
572.088013	4.164149	0.121195
573.671509	4.156151	0.117654
575.255005	4.148258	0.114235
576.838501	4.140468	0.110933
578.421875	4.132781	0.107744
580.005249	4.125195	0.104662
581.588623	4.117709	0.101685
583.171997	4.110323	0.098807
584.755249	4.103035	0.096025
586.338501	4.095844	0.093336
587.921753	4.088748	0.090736
589.505005	4.081747	0.088221
591.088196	4.074839	0.085789
592.671326	4.068022	0.083436
594.254456	4.061297	0.081159
595.837524	4.05466	    0.078956
597.420593	4.048111	0.076823
599.003601	4.041649	0.074759
600.586548	4.035273	0.072761
602.169556	4.02898	    0.070825
603.752441	4.02277	    0.068951
605.335327	4.016642	0.067136
606.918152	4.010594	0.065378
608.500916	4.004625	0.063674
610.083679	3.998733	0.062023
611.666382	3.992918	0.060423
613.249146	3.987178	0.058872
614.831726	3.981513	0.057368
616.414368	3.975919	0.05591
617.996948	3.970398	0.054496
619.579468	3.964947	0.053125
621.161926	3.959566	0.051795
622.744324	3.954252	0.050505
624.326782	3.949006	0.049253
625.909058	3.943826	0.048038
627.491394	3.938711	0.046859
629.073669	3.933659	0.045715
630.655884	3.92867	    0.044604
632.238037	3.923743	0.043526
633.82019	3.918877	0.042478
635.402222	3.91407	    0.041461
636.984253	3.909322	0.040473
638.566284	3.904632	0.039514
640.148193	3.899998	0.038581
641.730103	3.895421	0.037675
643.31189	3.890898	0.036795
644.893677	3.886429	0.035939
646.475403	3.882014	0.035108
648.057068	3.87765	    0.034299
649.638733	3.873338	0.033513
651.220276	3.869077	0.032749
652.801819	3.864865	0.032005
654.38324	3.860702	0.031282
655.964722	3.856587	0.030579
657.546021	3.85252	    0.029895
659.127319	3.848499	0.029229
660.708618	3.844524	0.028581
662.289795	3.840594	0.027951
663.870911	3.836708	0.027337
665.452026	3.832866	0.02674
667.03302	3.829066	0.026159
668.613953	3.825309	0.025593
670.194885	3.821594	0.025041
671.775757	3.817919	0.024505
673.356506	3.814284	0.023982
674.937195	3.810689	0.023472
676.517883	3.807133	0.022976
678.098511	3.803615	0.022493
679.679016	3.800135	0.022022
681.25946	3.796692	0.021563
682.839905	3.793286	0.021116
684.420227	3.789916	0.02068
686.000488	3.786581	0.020255
687.580688	3.78328	    0.01984
689.160828	3.780015	0.019436
690.740906	3.776783	0.019042
692.320923	3.773584	0.018658
693.900879	3.770418	0.018284
695.480774	3.767284	0.017918
697.060608	3.764182	0.017562
698.64032	3.761111	0.017214
700.219971	3.758071	0.016874
701.799622	3.755061	0.016543
703.379089	3.752081	0.01622
704.958618	3.749131	0.015905
706.537964	3.74621	    0.015597
708.11731	3.743317	0.015296
709.696533	3.740452	0.015003
711.275696	3.737615	0.014716
712.854797	3.734805	0.014436
714.433777	3.732022	0.014163
716.012756	3.729266	0.013896
717.591614	3.726536	0.013636
719.170349	3.723831	0.013381
720.749084	3.721152	0.013132
722.327759	3.718498	0.012889
723.906311	3.715868	0.012652
725.484741	3.713263	0.01242
727.06311	3.710682	0.012193
728.641479	3.708124	0.011971
730.219727	3.705589	0.011755
731.797852	3.703078	0.011543
733.375916	3.700589	0.011336
734.953979	3.698122	0.011134
736.53186	3.695677	0.010936
738.10968	3.693254	0.010742
739.687439	3.690852	0.010553
741.265076	3.688472	0.010368
742.842651	3.686112	0.010187
744.420166	3.683772	0.010009
745.997559	3.681453	0.009836
747.57489	3.679154	0.009666
749.1521	3.676874	0.009501
750.729248	3.674614	0.009338
752.306274	3.672373	0.009179
753.88324	3.67015	    0.009024
755.460144	3.667947	0.008871
757.036987	3.665761	0.008722
758.613647	3.663594	0.008577
760.190247	3.661444	0.008434
761.766724	3.659313	0.008294
763.34314	3.657198	0.008157
764.919556	3.655101	0.008023
766.495728	3.653021	0.007892
768.071899	3.650957	0.007763
769.647949	3.64891	    0.007637
771.223938	3.646879	0.007514
772.799744	3.644865	0.007393
774.375549	3.642866	0.007274
775.951172	3.640883	0.007158
777.526733	3.638915	0.007044
779.102234	3.636963	0.006933
780.677612	3.635025	0.006824
782.252869	3.633103	0.006717
783.828064	3.631195	0.006612
785.403137	3.629302	0.006509
786.978149	3.627423	0.006408
788.552979	3.625558	0.006309
790.127808	3.623707	0.006212
791.702454	3.62187	    0.006117
793.276978	3.620047	0.006024
794.85144	3.618237	0.005933
796.425842	3.61644	    0.005843
798.000122	3.614656	0.005755
799.57428	3.612885	0.005669
801.148315	3.611128	0.005584
802.72229	3.609382	0.005501
804.296082	3.60765 	0.00542
805.869812	3.605929	0.00534
807.443481	3.604221	0.005262
809.016968	3.602525	0.005185
810.590393	3.600841	0.005109
812.163696	3.599168	0.005035
813.736877	3.597507	0.004962
815.309937	3.595858	0.004891
816.882935	3.59422	    0.004821
818.45575	3.592593	0.004752
820.028503	3.590977	0.004685
821.601074	3.589372	0.004619
823.173645	3.587778	0.004553
824.745972	3.586195	0.00449
826.318359	3.584622	0.004427
827.890503	3.58306	    0.004365
829.462585	3.581508	0.004305
831.034485	3.579966	0.004245
832.606323	3.578434	0.004187
834.17804	3.576913	0.004129
835.749634	3.575401	0.004073
837.321106	3.573899	0.004018
838.892456	3.572406	0.003963
840.463684	3.570923	0.00391
842.03479	3.56945	    0.003857
843.605774	3.567985	0.003806
845.176636	3.56653	    0.003755
846.747437	3.565084	0.003705
848.318054	3.563648	0.003656
849.88855	3.562219	0.003608
851.458984	3.5608	    0.003561
853.029175	3.55939	    0.003514
854.599426	3.557988	0.003469
856.169312	3.556594	0.003424
857.739258	3.555209	0.00338
859.309082	3.553833	0.003336
860.878723	3.552464	0.003293
862.44812	3.551104	0.003251
864.017578	3.549752	0.00321
865.586792	3.548408	0.003169
867.155945	3.547071	0.003129
868.724915	3.545743	0.00309
870.293823	3.544422	0.003051
871.862488	3.543109	0.003013
873.431152	3.541803	0.002976
874.999634	3.540505	0.002939
876.567993	3.539215	0.002903
878.136108	3.537931	0.002867
879.704224	3.536655	0.002832
881.272156	3.535386	0.002798
882.840027	3.534124	0.002764
884.407715	3.532869	0.00273
885.97522	3.531621	0.002698
887.542603	3.53038	    0.002665
889.109863	3.529146	0.002633
890.677063	3.527918	0.002602
892.244019	3.526697	0.002571
